day,channel,spend
2024-02-10,referral,47.32
2024-02-11,search,1260.87
2024-02-11,social,675.84
2024-02-11,email,147.15
2024-02-11,affiliate,221.63
2024-02-11,display,361.88
2024-02-11,direct,0.0
2024-02-11,referral,40.11
2024-02-12,search,1246.94
2024-02-12,social,754.42
2024-02-12,email,161.78
2024-02-12,affiliate,340.86
2024-02-12,display,356.24
2024-02-12,direct,0.0
2024-02-12,referral,59.55
2024-02-13,search,1314.07
2024-02-13,social,679.42
2024-02-13,email,181.31
2024-02-13,affiliate,332.33
2024-02-13,display,417.35
2024-02-13,direct,0.0
2024-02-13,referral,56.78
2024-02-14,search,1257.23
2024-02-14,social,594.86
2024-02-14,email,189.59
2024-02-14,affiliate,281.04
2024-02-14,display,467.58
2024-02-14,direct,0.0
2024-02-14,referral,51.15
2024-02-15,search,1324.21
2024-02-15,social,684.65
2024-02-15,email,232.53
2024-02-15,affiliate,292.63
2024-02-15,display,346.1
2024-02-15,direct,0.0
2024-02-15,referral,67.24
2024-02-16,search,1237.57
2024-02-16,social,768.26
2024-02-16,email,182.69
2024-02-16,affiliate,382.41
2024-02-16,display,403.45
2024-02-16,direct,0.0
2024-02-16,referral,52.25
2024-02-17,search,1042.65
2024-02-17,social,823.28
2024-02-17,email,182.42
2024-02-17,affiliate,200.51
2024-02-17,display,378.58
2024-02-17,direct,0.0
2024-02-17,referral,33.33
2024-02-18,search,841.42
2024-02-18,social,800.79
2024-02-18,email,171.97
2024-02-18,affiliate,240.77
2024-02-18,display,308.87
2024-02-18,direct,0.0
2024-02-18,referral,49.5
2024-02-19,search,971.04
2024-02-19,social,735.86
2024-02-19,email,186.63
2024-02-19,affiliate,328.27
2024-02-19,display,449.5
2024-02-19,direct,0.0
2024-02-19,referral,50.46
2024-02-20,search,1173.8
2024-02-20,social,765.23
2024-02-20,email,180.11
2024-02-20,affiliate,293.22
2024-02-20,display,300.05
2024-02-20,direct,0.0
2024-02-20,referral,50.35
2024-02-21,search,1158.87
2024-02-21,social,1087.98
2024-02-21,email,200.91
2024-02-21,affiliate,299.63
2024-02-21,display,423.06
2024-02-21,direct,0.0
2024-02-21,referral,62.6
2024-02-22,search,755.89
2024-02-22,social,888.16
2024-02-22,email,137.63
2024-02-22,affiliate,270.95
2024-02-22,display,417.75
2024-02-22,direct,0.0
2024-02-22,referral,43.79
2024-02-23,search,1219.65
2024-02-23,social,954.81
2024-02-23,email,121.43
2024-02-23,affiliate,292.16
2024-02-23,display,481.97
2024-02-23,direct,0.0
2024-02-23,referral,50.38
2024-02-24,search,977.0
2024-02-24,social,755.24
2024-02-24,email,128.63
2024-02-24,affiliate,243.74
2024-02-24,display,304.77
2024-02-24,direct,0.0
2024-02-24,referral,50.98
2024-02-25,search,1226.99
2024-02-25,social,655.36
2024-02-25,email,98.66
2024-02-25,affiliate,251.45
2024-02-25,display,320.72
2024-02-25,direct,0.0
2024-02-25,referral,42.35
2024-02-26,search,1254.01
2024-02-26,social,800.49
2024-02-26,email,155.44
2024-02-26,affiliate,355.94
2024-02-26,display,394.85
2024-02-26,direct,0.0
2024-02-26,referral,33.41
2024-02-27,search,932.1
2024-02-27,social,883.32
2024-02-27,email,153.59
2024-02-27,affiliate,200.08
2024-02-27,display,452.1
2024-02-27,direct,0.0
2024-02-27,referral,60.63
2024-02-28,search,1551.26
2024-02-28,social,968.04
2024-02-28,email,240.97
2024-02-28,affiliate,267.92
2024-02-28,display,391.16
2024-02-28,direct,0.0
2024-02-28,referral,49.58
2024-02-29,search,1284.2
2024-02-29,social,884.86
2024-02-29,email,196.5
2024-02-29,affiliate,246.02
2024-02-29,display,371.92
2024-02-29,direct,0.0
2024-02-29,referral,60.33
2024-03-01,search,1432.81
2024-03-01,social,928.87
2024-03-01,email,196.75
2024-03-01,affiliate,266.38
2024-03-01,display,416.32
2024-03-01,direct,0.0
2024-03-01,referral,58.48
2024-03-02,search,1082.66
2024-03-02,social,753.49
2024-03-02,email,207.89
2024-03-02,affiliate,260.31
2024-03-02,display,340.99
2024-03-02,direct,0.0
2024-03-02,referral,48.26
2024-03-03,search,1048.65
2024-03-03,social,608.66
2024-03-03,email,190.35
2024-03-03,affiliate,248.28
2024-03-03,display,342.58
2024-03-03,direct,0.0
2024-03-03,referral,41.24
2024-03-04,search,1304.66
2024-03-04,social,942.78
2024-03-04,email,205.65
2024-03-04,affiliate,286.06
2024-03-04,display,287.62
2024-03-04,direct,0.0
2024-03-04,referral,53.31
2024-03-05,search,1318.62
2024-03-05,social,812.91
2024-03-05,email,255.21
2024-03-05,affiliate,295.93
2024-03-05,display,532.8
2024-03-05,direct,0.0
2024-03-05,referral,54.49
2024-03-06,search,1289.75
2024-03-06,social,660.53
2024-03-06,email,236.33
2024-03-06,affiliate,220.13
2024-03-06,display,421.56
2024-03-06,direct,0.0
2024-03-06,referral,68.33
2024-03-07,search,1381.83
2024-03-07,social,939.9
2024-03-07,email,206.3
2024-03-07,affiliate,216.65
2024-03-07,display,399.57
2024-03-07,direct,0.0
2024-03-07,referral,45.84
2024-03-08,search,1478.66
2024-03-08,social,654.82
2024-03-08,email,227.45
2024-03-08,affiliate,291.39
2024-03-08,display,365.95
2024-03-08,direct,0.0
2024-03-08,referral,49.0
2024-03-09,search,1037.31
2024-03-09,social,964.48
2024-03-09,email,173.77
2024-03-09,affiliate,302.81
2024-03-09,display,363.46
2024-03-09,direct,0.0
2024-03-09,referral,46.2
2024-03-10,search,827.86
2024-03-10,social,626.05
2024-03-10,email,155.44
2024-03-10,affiliate,264.76
2024-03-10,display,262.84
2024-03-10,direct,0.0
2024-03-10,referral,30.28
2024-03-11,search,1197.87
2024-03-11,social,722.62
2024-03-11,email,162.7
2024-03-11,affiliate,268.35
2024-03-11,display,335.49
2024-03-11,direct,0.0
2024-03-11,referral,51.1
2024-03-12,search,1269.91
2024-03-12,social,706.63
2024-03-12,email,195.84
2024-03-12,affiliate,445.03
2024-03-12,display,442.02
2024-03-12,direct,0.0
2024-03-12,referral,59.81
2024-03-13,search,1371.69
2024-03-13,social,881.91
2024-03-13,email,207.15
2024-03-13,affiliate,252.1
2024-03-13,display,399.17
2024-03-13,direct,0.0
2024-03-13,referral,57.81
2024-03-14,search,1182.41
2024-03-14,social,913.51
2024-03-14,email,181.85
2024-03-14,affiliate,247.78
2024-03-14,display,447.89
2024-03-14,direct,0.0
2024-03-14,referral,62.81
2024-03-15,search,1345.27
2024-03-15,social,765.58
2024-03-15,email,180.63
2024-03-15,affiliate,257.71
2024-03-15,display,376.48
2024-03-15,direct,0.0
2024-03-15,referral,51.55
2024-03-16,search,1066.0
2024-03-16,social,698.91
2024-03-16,email,107.8
2024-03-16,affiliate,288.47
2024-03-16,display,283.16
2024-03-16,direct,0.0
2024-03-16,referral,55.77
2024-03-17,search,1091.07
2024-03-17,social,547.72
2024-03-17,email,179.21
2024-03-17,affiliate,278.88
2024-03-17,display,321.57
2024-03-17,direct,0.0
2024-03-17,referral,52.21
2024-03-18,search,1267.25
2024-03-18,social,708.66
2024-03-18,email,201.9
2024-03-18,affiliate,285.27
2024-03-18,display,382.3
2024-03-18,direct,0.0
2024-03-18,referral,48.78
2024-03-19,search,1037.85
2024-03-19,social,802.44
2024-03-19,email,174.14
2024-03-19,affiliate,306.26
2024-03-19,display,400.68
2024-03-19,direct,0.0
2024-03-19,referral,56.59
2024-03-20,search,1189.88
2024-03-20,social,771.86
2024-03-20,email,248.93
2024-03-20,affiliate,301.24
2024-03-20,display,421.63
2024-03-20,direct,0.0
2024-03-20,referral,45.72
2024-03-21,search,896.73
2024-03-21,social,626.27
2024-03-21,email,180.44
2024-03-21,affiliate,267.96
2024-03-21,display,367.08
2024-03-21,direct,0.0
2024-03-21,referral,51.61
2024-03-22,search,1182.32
2024-03-22,social,567.81
2024-03-22,email,241.27
2024-03-22,affiliate,244.47
2024-03-22,display,325.14
2024-03-22,direct,0.0
2024-03-22,referral,46.96
2024-03-23,search,1019.02
2024-03-23,social,798.82
2024-03-23,email,176.25
2024-03-23,affiliate,193.97
2024-03-23,display,323.64
2024-03-23,direct,0.0
2024-03-23,referral,34.78
2024-03-24,search,706.61
2024-03-24,social,816.4
2024-03-24,email,177.27
2024-03-24,affiliate,268.38
2024-03-24,display,490.85
2024-03-24,direct,0.0
2024-03-24,referral,38.87
2024-03-25,search,1347.83
2024-03-25,social,664.41
2024-03-25,email,221.42
2024-03-25,affiliate,309.47
2024-03-25,display,383.67
2024-03-25,direct,0.0
2024-03-25,referral,57.16
2024-03-26,search,1551.82
2024-03-26,social,837.22
2024-03-26,email,192.53
2024-03-26,affiliate,357.88
2024-03-26,display,453.38
2024-03-26,direct,0.0
2024-03-26,referral,55.81
2024-03-27,search,1291.27
2024-03-27,social,655.64
2024-03-27,email,175.71
2024-03-27,affiliate,286.72
2024-03-27,display,440.84
2024-03-27,direct,0.0
2024-03-27,referral,49.02
2024-03-28,search,1157.36
2024-03-28,social,804.72
2024-03-28,email,227.28
2024-03-28,affiliate,293.21
2024-03-28,display,401.94
2024-03-28,direct,0.0
2024-03-28,referral,45.2
2024-03-29,search,1535.0
2024-03-29,social,711.21
2024-03-29,email,157.04
2024-03-29,affiliate,306.37
2024-03-29,display,400.64
2024-03-29,direct,0.0
2024-03-29,referral,60.92
2024-03-30,search,1190.94
2024-03-30,social,839.49
2024-03-30,email,135.86
2024-03-30,affiliate,290.62
2024-03-30,display,390.7
2024-03-30,direct,0.0
2024-03-30,referral,50.39
2024-03-31,search,984.42
2024-03-31,social,698.97
2024-03-31,email,127.78
2024-03-31,affiliate,328.63
2024-03-31,display,417.6
2024-03-31,direct,0.0
2024-03-31,referral,49.04
2024-04-01,search,1027.8
2024-04-01,social,612.36
2024-04-01,email,213.19
2024-04-01,affiliate,284.93
2024-04-01,display,447.99
2024-04-01,direct,0.0
2024-04-01,referral,56.82
2024-04-02,search,1296.02
2024-04-02,social,521.41
2024-04-02,email,208.49
2024-04-02,affiliate,289.3
2024-04-02,display,361.89
2024-04-02,direct,0.0
2024-04-02,referral,43.39
2024-04-03,search,1347.54
2024-04-03,social,768.52
2024-04-03,email,167.03
2024-04-03,affiliate,254.17
2024-04-03,display,422.1
2024-04-03,direct,0.0
2024-04-03,referral,42.94
2024-04-04,search,1090.73
2024-04-04,social,672.0
2024-04-04,email,213.12
2024-04-04,affiliate,227.88
2024-04-04,display,384.73
2024-04-04,direct,0.0
2024-04-04,referral,60.77
2024-04-05,search,1198.0
2024-04-05,social,1015.86
2024-04-05,email,184.89
2024-04-05,affiliate,247.48
2024-04-05,display,443.09
2024-04-05,direct,0.0
2024-04-05,referral,42.59
2024-04-06,search,956.91
2024-04-06,social,535.19
2024-04-06,email,181.64
2024-04-06,affiliate,216.45
2024-04-06,display,455.39
2024-04-06,direct,0.0
2024-04-06,referral,39.22
2024-04-07,search,1015.81
2024-04-07,social,603.03
2024-04-07,email,189.58
2024-04-07,affiliate,303.8
2024-04-07,display,272.7
2024-04-07,direct,0.0
2024-04-07,referral,40.63
2024-04-08,search,1297.96
2024-04-08,social,785.8
2024-04-08,email,210.25
2024-04-08,affiliate,264.06
2024-04-08,display,500.75
2024-04-08,direct,0.0
2024-04-08,referral,47.81
2024-04-09,search,1351.15
2024-04-09,social,667.02
2024-04-09,email,198.31
2024-04-09,affiliate,291.76
2024-04-09,display,416.59
2024-04-09,direct,0.0
2024-04-09,referral,56.74
2024-04-10,search,1144.16
2024-04-10,social,906.64
2024-04-10,email,218.83
2024-04-10,affiliate,329.81
2024-04-10,display,463.06
2024-04-10,direct,0.0
2024-04-10,referral,44.27
2024-04-11,search,1340.05
2024-04-11,social,716.31
2024-04-11,email,188.75
2024-04-11,affiliate,323.02
2024-04-11,display,376.27
2024-04-11,direct,0.0
2024-04-11,referral,41.23
2024-04-12,search,1917.34
2024-04-12,social,823.6
2024-04-12,email,182.86
2024-04-12,affiliate,336.58
2024-04-12,display,375.19
2024-04-12,direct,0.0
2024-04-12,referral,57.78
2024-04-13,search,885.02
2024-04-13,social,765.11
2024-04-13,email,176.15
2024-04-13,affiliate,232.18
2024-04-13,display,342.61
2024-04-13,direct,0.0
2024-04-13,referral,45.59
2024-04-14,search,1168.04
2024-04-14,social,680.04
2024-04-14,email,163.61
2024-04-14,affiliate,178.31
2024-04-14,display,352.33
2024-04-14,direct,0.0
2024-04-14,referral,41.77
2024-04-15,search,1368.11
2024-04-15,social,911.36
2024-04-15,email,249.15
2024-04-15,affiliate,359.77
2024-04-15,display,390.64
2024-04-15,direct,0.0
2024-04-15,referral,53.79
2024-04-16,search,879.28
2024-04-16,social,631.61
2024-04-16,email,210.07
2024-04-16,affiliate,388.29
2024-04-16,display,439.18
2024-04-16,direct,0.0
2024-04-16,referral,48.77
2024-04-17,search,1187.28
2024-04-17,social,805.99
2024-04-17,email,176.58
2024-04-17,affiliate,295.9
2024-04-17,display,476.15
2024-04-17,direct,0.0
2024-04-17,referral,42.66
2024-04-18,search,1101.7
2024-04-18,social,1096.66
2024-04-18,email,143.98
2024-04-18,affiliate,270.62
2024-04-18,display,376.63
2024-04-18,direct,0.0
2024-04-18,referral,50.47
2024-04-19,search,1150.34
2024-04-19,social,824.13
2024-04-19,email,216.72
2024-04-19,affiliate,319.14
2024-04-19,display,447.74
2024-04-19,direct,0.0
2024-04-19,referral,40.12
2024-04-20,search,1233.64
2024-04-20,social,642.19
2024-04-20,email,154.02
2024-04-20,affiliate,217.59
2024-04-20,display,266.03
2024-04-20,direct,0.0
2024-04-20,referral,43.81
2024-04-21,search,1073.85
2024-04-21,social,765.67
2024-04-21,email,157.96
2024-04-21,affiliate,308.72
2024-04-21,display,255.12
2024-04-21,direct,0.0
2024-04-21,referral,36.49
2024-04-22,search,1271.93
2024-04-22,social,821.65
2024-04-22,email,205.1
2024-04-22,affiliate,305.05
2024-04-22,display,269.09
2024-04-22,direct,0.0
2024-04-22,referral,49.16
2024-04-23,search,1141.63
2024-04-23,social,1091.59
2024-04-23,email,198.52
2024-04-23,affiliate,321.8
2024-04-23,display,316.63
2024-04-23,direct,0.0
2024-04-23,referral,44.73
2024-04-24,search,1639.14
2024-04-24,social,711.33
2024-04-24,email,182.98
2024-04-24,affiliate,353.35
2024-04-24,display,334.41
2024-04-24,direct,0.0
2024-04-24,referral,56.12
2024-04-25,search,1300.95
2024-04-25,social,819.3
2024-04-25,email,119.14
2024-04-25,affiliate,334.62
2024-04-25,display,395.99
2024-04-25,direct,0.0
2024-04-25,referral,50.35
2024-04-26,search,996.44
2024-04-26,social,838.21
2024-04-26,email,155.86
2024-04-26,affiliate,261.72
2024-04-26,display,416.83
2024-04-26,direct,0.0
2024-04-26,referral,58.29
2024-04-27,search,818.8
2024-04-27,social,682.92
2024-04-27,email,171.28
2024-04-27,affiliate,229.48
2024-04-27,display,315.84
2024-04-27,direct,0.0
2024-04-27,referral,43.74
2024-04-28,search,1035.99
2024-04-28,social,876.55
2024-04-28,email,161.02
2024-04-28,affiliate,290.29
2024-04-28,display,310.72
2024-04-28,direct,0.0
2024-04-28,referral,47.94
2024-04-29,search,1180.17
2024-04-29,social,969.73
2024-04-29,email,147.44
2024-04-29,affiliate,256.31
2024-04-29,display,393.43
2024-04-29,direct,0.0
2024-04-29,referral,65.44
2024-04-30,search,1684.98
2024-04-30,social,1028.07
2024-04-30,email,181.01
2024-04-30,affiliate,318.6
2024-04-30,display,413.03
2024-04-30,direct,0.0
2024-04-30,referral,43.79
2024-05-01,search,1067.82
2024-05-01,social,616.5
2024-05-01,email,187.41
2024-05-01,affiliate,273.09
2024-05-01,display,354.92
2024-05-01,direct,0.0
2024-05-01,referral,44.24
2024-05-02,search,868.49
2024-05-02,social,809.13
2024-05-02,email,237.26
2024-05-02,affiliate,275.76
2024-05-02,display,440.69
2024-05-02,direct,0.0
2024-05-02,referral,52.16
2024-05-03,search,1266.67
2024-05-03,social,896.91
2024-05-03,email,209.78
2024-05-03,affiliate,318.64
2024-05-03,display,335.82
2024-05-03,direct,0.0
2024-05-03,referral,44.46
2024-05-04,search,1238.24
2024-05-04,social,769.3
2024-05-04,email,139.04
2024-05-04,affiliate,310.44
2024-05-04,display,302.07
2024-05-04,direct,0.0
2024-05-04,referral,44.5
2024-05-05,search,647.94
2024-05-05,social,850.28
2024-05-05,email,171.27
2024-05-05,affiliate,301.78
2024-05-05,display,355.35
2024-05-05,direct,0.0
2024-05-05,referral,48.3
2024-05-06,search,1034.12
2024-05-06,social,984.39
2024-05-06,email,243.22
2024-05-06,affiliate,272.06
2024-05-06,display,438.74
2024-05-06,direct,0.0
2024-05-06,referral,40.79
2024-05-07,search,1232.6
2024-05-07,social,858.91
2024-05-07,email,209.6
2024-05-07,affiliate,311.52
2024-05-07,display,411.82
2024-05-07,direct,0.0
2024-05-07,referral,60.24
2024-05-08,search,1312.3
2024-05-08,social,807.44
2024-05-08,email,191.25
2024-05-08,affiliate,319.36
2024-05-08,display,370.6
2024-05-08,direct,0.0
2024-05-08,referral,49.8
2024-05-09,search,1159.59
2024-05-09,social,849.06
2024-05-09,email,195.03
2024-05-09,affiliate,289.65
2024-05-09,display,400.56
2024-05-09,direct,0.0
2024-05-09,referral,42.09
2024-05-10,search,1142.49
2024-05-10,social,842.9
2024-05-10,email,222.81
2024-05-10,affiliate,256.84
2024-05-10,display,401.12
2024-05-10,direct,0.0
2024-05-10,referral,51.18
2024-05-11,search,1135.24
2024-05-11,social,577.7
2024-05-11,email,123.69
2024-05-11,affiliate,291.67
2024-05-11,display,370.13
2024-05-11,direct,0.0
2024-05-11,referral,40.88
2024-05-12,search,1134.45
2024-05-12,social,707.5
2024-05-12,email,149.21
2024-05-12,affiliate,259.13
2024-05-12,display,381.45
2024-05-12,direct,0.0
2024-05-12,referral,45.11
2024-05-13,search,994.15
2024-05-13,social,730.29
2024-05-13,email,197.27
2024-05-13,affiliate,354.72
2024-05-13,display,439.84
2024-05-13,direct,0.0
2024-05-13,referral,52.48
2024-05-14,search,1172.9
2024-05-14,social,728.64
2024-05-14,email,156.57
2024-05-14,affiliate,296.8
2024-05-14,display,395.59
2024-05-14,direct,0.0
2024-05-14,referral,51.15
2024-05-15,search,1183.78
2024-05-15,social,953.99
2024-05-15,email,203.29
2024-05-15,affiliate,376.65
2024-05-15,display,449.91
2024-05-15,direct,0.0
2024-05-15,referral,50.62
2024-05-16,search,1652.68
2024-05-16,social,904.5
2024-05-16,email,144.73
2024-05-16,affiliate,219.27
2024-05-16,display,360.78
2024-05-16,direct,0.0
2024-05-16,referral,53.66
2024-05-17,search,1178.77
2024-05-17,social,729.18
2024-05-17,email,202.17
2024-05-17,affiliate,298.42
2024-05-17,display,481.3
2024-05-17,direct,0.0
2024-05-17,referral,50.18
2024-05-18,search,1255.26
2024-05-18,social,805.96
2024-05-18,email,194.88
2024-05-18,affiliate,260.88
2024-05-18,display,296.71
2024-05-18,direct,0.0
2024-05-18,referral,41.63
2024-05-19,search,1000.91
2024-05-19,social,630.98
2024-05-19,email,176.53
2024-05-19,affiliate,231.44
2024-05-19,display,342.57
2024-05-19,direct,0.0
2024-05-19,referral,44.64
2024-05-20,search,1265.63
2024-05-20,social,814.26
2024-05-20,email,210.26
2024-05-20,affiliate,239.26
2024-05-20,display,371.94
2024-05-20,direct,0.0
2024-05-20,referral,44.54
2024-05-21,search,1068.04
2024-05-21,social,873.2
2024-05-21,email,177.97
2024-05-21,affiliate,193.78
2024-05-21,display,304.43
2024-05-21,direct,0.0
2024-05-21,referral,42.29
2024-05-22,search,1265.75
2024-05-22,social,691.02
2024-05-22,email,198.09
2024-05-22,affiliate,295.53
2024-05-22,display,335.29
2024-05-22,direct,0.0
2024-05-22,referral,43.79
2024-05-23,search,1526.52
2024-05-23,social,732.82
2024-05-23,email,223.67
2024-05-23,affiliate,209.64
2024-05-23,display,221.17
2024-05-23,direct,0.0
2024-05-23,referral,54.65
2024-05-24,search,1384.18
2024-05-24,social,869.38
